id,role,description,company,location,Stipend,Duration,Skills,Perks
5f9fc1e3fb43357b9094a297,Fashion Design,"The Fashion Design Intern will provide essential support and hands-on experience in the related field involving the following skills: MS-Office, Adobe Illustrator, CorelDRAW, Certificate.",Enamor,"[""Bangalore"", ""560001""]",5000 /month,2 Months,"[""MS-Office"", ""Adobe Illustrator"", ""CorelDRAW"", ""Certificate""]",Internship; Certificate
5f9fc1e4fb43357b9094a298,Operations,"The Operations Intern will provide essential support and hands-on experience in the related field involving the following skills: Chemistry, Certificate, Letter of recommendation, Informal dress code, Free snacks & beverages.",Lakshmi Tools & Components,"[""Hoskote"", ""562114""]",12000 /month,1 Month,"[""Chemistry"", ""Certificate"", ""Letter of recommendation""]",Internship; Certificate
5f9fc1e4fb43357b9094a299,Photography,"The Photography Intern will provide essential support and hands-on experience in the related field involving the following skills: Flexible work hours, Free snacks & beverages.",Evineon Technologies,"[""Bangalore"", ""560001""]",10000-12000 /month,3 Months,[],Internship
5f9fc1e5fb43357b9094a29a,Social Media Marketing,"The Social Media Marketing Intern will provide essential support and hands-on experience in the related field involving the following skills: MS-Office, Certificate, Letter of recommendation, Flexible work hours, Informal dress code, 5 days a week, Free snacks & beverages.",VisualNet Private Limited,"[""Bangalore"", ""560001""]",7000 /month,6 Months,"[""MS-Office"", ""Certificate"", ""Letter of recommendation""]",Internship; Certificate
5f9fc1e6fb43357b9094a29b,Business Development (Sales),The Business Development (Sales) Intern will gain essential experience in key areas relevant to this role.,DM Consulting (India) Private Limited,"[""Bangalore"", ""560001""]",5000 /month,6 Months,"[""General Skills""]",Internship
5f9fc1e7fb43357b9094a29c,Social Media Marketing,"The Social Media Marketing Intern will provide essential support and hands-on experience in the related field involving the following skills: Digital Marketing, Certificate, Letter of recommendation, Flexible work hours, Informal dress code, 5 days a week, Free snacks & beverages, Job offer.","Zyena Technologies SDN, BHD, Malaysia","[""Coimbatore"", ""641001""]",5000-10000 /month,3 Months,"[""Digital Marketing"", ""Certificate"", ""Letter of recommendation""]",Internship with job offer; Certificate
5f9fc1e8fb43357b9094a29d,Event Management/Wedding Planning,"The Event Management/Wedding Planning Intern will provide essential support and hands-on experience in the related field involving the following skills: MS-PowerPoint, English Proficiency (Spoken), English Proficiency (Written), Certificate, Letter of recommendation, Job offer.",Visual Reality Events & Production,"[""Bangalore"", ""560001""]",2000-3000 /month,3 Months,"[""MS-PowerPoint"", ""English Proficiency (Spoken)"", ""English Proficiency (Written)"", ""Certificate"", ""Letter of recommendation""]",Internship with job offer; Certificate
5f9fc1e9fb43357b9094a29e,Digital Marketing,"The Digital Marketing Intern will provide essential support and hands-on experience in the related field involving the following skills: Digital Marketing, Certificate, Letter of recommendation, Informal dress code, Free snacks & beverages.",Webi7 Digital Media,"[""Bangalore"", ""560001""]",5000 /month,3 Months,"[""Digital Marketing"", ""Certificate"", ""Letter of recommendation""]",Internship; Certificate
5f9fc1eafb43357b9094a29f,Graphic Design,"The Graphic Design Intern will provide essential support and hands-on experience in the related field involving the following skills: Social Media Marketing, Adobe Photoshop, Video Editing, Digital Marketing, Video Making, Certificate, Informal dress code.",StoreEDge Solutions Private Limited,"[""Bangalore"", ""560001""]",4000-7000 /month,6 Months,"[""Social Media Marketing"", ""Adobe Photoshop"", ""Video Editing"", ""Digital Marketing"", ""Video Making"", ""Certificate""]",Internship; Certificate
5f9fc1ebfb43357b9094a2a0,Cyber Security,"The Cyber Security Intern will provide essential support and hands-on experience in the related field involving the following skills: Python, Linux, Ethical Hacking, C Programming, Shell Scripting, C++ Programming, Certificate, Letter of recommendation, Job offer.",Resec Systems Private Limited,"[""Chandigarh"", ""000000""]",8000 /month,6 Months,"[""Python"", ""Linux"", ""Ethical Hacking"", ""C Programming"", ""Shell Scripting"", ""C++ Programming"", ""Certificate"", ""Letter of recommendation""]",Internship with job offer; Certificate
